HouseSize_sqft,Bedrooms,Bathrooms,Age_Years,DistanceToCityCenter_km,LocalSchoolRating,SeasonSold,YearSold,Price
2715,1,2,26,13.843077188334808,7,1,2017,410740.76315946714
1885,2,3,69,10.181536708707796,9,3,2011,399040.63564195996
2225,1,1,61,12.297538833193308,10,1,2013,392827.77320976334
2493,5,3,31,19.800037594077963,9,3,2012,459673.24606366886
1623,1,1,7,14.021191473413374,9,2,2015,337826.63132278074
1547,1,2,84,8.532310328563913,6,4,2011,298839.09716448555
1638,1,2,17,16.389321686950648,8,2,2014,373013.9610822483
1825,5,2,77,11.956551604097216,9,2,2020,421974.24399781507
1564,1,1,14,5.186125743664676,7,2,2018,324156.00756747415
1660,4,2,25,9.0963885490911,4,2,2012,367641.967325217
2440,4,2,52,2.6387131825851364,4,3,2011,384262.4781232254
1951,5,1,43,-1.4251005196603082,6,4,2011,373993.6987607609
2153,2,3,31,5.25479854392217,4,3,2018,384595.1375762516
1724,4,2,27,10.612905343402364,7,3,2015,385414.1506245529
1691,3,3,38,10.627544372410938,8,3,2011,353429.76454499335
2142,4,3,31,2.942121574374685,8,2,2012,441689.7243212398
2063,3,2,76,-1.8938096362935077,8,1,2010,397605.7238037974
2388,5,2,78,17.35381237160359,2,2,2011,373992.622372737
2650,2,1,17,10.476465595801171,10,3,2011,417069.42539115687
1654,3,1,69,17.778559889581246,2,2,2020,259664.7898297415
2430,3,2,10,17.492955484178516,2,4,2011,366580.853121163
1460,4,3,31,13.673548337864977,2,4,2016,358944.9749175934
3036,3,1,19,10.295717908458963,4,2,2012,407486.96569184493
1606,5,1,96,8.011745929022801,5,2,2020,346274.4017946259
2345,5,2,39,13.592982616250186,4,1,2013,370138.95285781764
1456,5,2,7,9.20071067082131,5,2,2011,396341.2355238263
1923,4,2,34,7.0519036871975675,4,2,2014,379079.00224501546
2772,2,2,68,-0.48952342144432137,7,1,2018,403991.4878271125
1591,4,1,98,9.584473457916973,10,2,2018,377372.5873089423
3102,5,1,77,15.48335443748065,1,2,2016,378917.1290602302
1997,4,1,20,16.296582899475254,1,2,2017,316869.2823072716
2487,5,3,23,10.266393552824349,2,2,2014,433221.08716224926
2201,1,1,16,5.556448246966368,1,2,2014,324659.26933691575
2228,1,1,17,14.513719277594001,10,3,2012,394125.2097251912
1286,3,2,97,9.923172761766294,10,2,2015,328610.9558782803
1763,2,1,11,8.171623326366959,3,1,2010,332444.8235195931
2597,1,1,15,2.7204254026709718,6,2,2012,373708.33827212104
1827,5,1,3,20.51880738472897,10,3,2020,410887.31670901825
2069,4,2,88,13.691992245302686,6,1,2011,364371.6012050059
1226,4,1,33,14.2312425428625,1,1,2016,305684.239610573
1731,3,1,91,5.685953681959472,6,2,2018,300231.8662779756
2561,4,3,45,10.39874833744249,5,4,2013,440211.2220007403
1358,1,3,74,9.592530670202539,7,3,2016,352993.5141202062
2358,4,3,76,13.910473055097807,6,4,2017,395209.7464941079
2088,1,3,30,16.79859228072403,7,2,2019,386182.50859885133
1882,1,2,24,2.828922013215153,2,3,2011,341401.5588532087
1860,2,3,73,4.626612010084468,1,4,2016,326540.7747758645
1754,3,1,23,13.228689251889525,7,3,2012,376039.89850177563
1799,5,3,64,7.459853202787763,9,2,2017,409745.35657895135
2464,1,2,24,14.074370589373848,2,3,2015,337923.0611462767
1783,3,3,27,8.13470327808995,7,2,2012,407078.65740959684
2903,5,3,35,3.7561268466250173,3,4,2017,412377.0474692102
2149,4,2,81,1.203252556081857,6,3,2020,396127.6377293374
1711,3,2,5,12.420639600196148,3,1,2012,369081.0223636528
2486,3,2,65,12.543252717737095,10,2,2018,403610.8958486893
2311,3,2,66,14.851078711356088,5,3,2020,396140.65538174985
1172,4,2,71,11.639368031552292,2,1,2012,290437.4562107691
1482,4,2,94,-8.78717660629593,8,1,2010,361142.3607928052
1942,3,1,47,12.517170539234554,8,1,2011,357012.4044612022
1208,2,3,82,2.7127126774571977,7,1,2013,346649.37203170353
3045,1,3,69,0.6614100092015924,6,2,2020,412261.3636843335
2411,4,2,77,0.059226905392520734,1,3,2011,331248.0946303679
1993,2,2,66,-0.40093986320935926,8,1,2013,387883.3186432871
1828,4,1,47,11.394890509578245,1,3,2013,313679.2707467257
1700,3,1,64,6.344078795429799,8,3,2013,377374.44339829515
1017,2,2,43,2.40447354378718,2,4,2010,299120.87194099417
1133,5,1,93,10.115412778512024,8,3,2018,334357.68363177666
2950,1,1,62,4.470333877100221,10,2,2019,437319.8067012893
2786,1,2,45,14.905354619393568,4,2,2020,377094.95501713135
1712,4,2,18,17.251096869168542,7,1,2016,400992.8744847908
2453,1,2,63,8.911988821103435,5,3,2011,349241.06849204557
2253,5,2,82,16.88637193254234,8,2,2012,431684.40789564344
2312,2,3,72,16.877953803262038,6,2,2017,381230.6786468055
1287,2,3,70,10.423038718564722,5,2,2016,299892.3148866332
1095,3,2,49,18.667267333024007,1,1,2013,282339.86191237177
2591,2,1,62,6.891689974762415,3,2,2013,354391.63241014286
1010,4,2,40,0.22372420454214037,10,3,2018,382772.18714537565
1925,5,3,6,2.228109604381996,9,2,2014,412024.3713633538
1816,3,1,8,6.661576726533889,9,2,2020,386176.7544190121
1769,4,3,3,12.67151024865083,5,1,2014,371621.47412671015
2157,4,2,88,4.225885661368589,3,3,2016,326256.98519803834
1661,4,3,48,6.620995732857524,6,2,2010,388757.3837222124
2197,1,3,75,3.7526175572904954,5,3,2012,352380.5780768384
2070,4,3,5,6.735490074107755,1,3,2011,379989.73830049345
3049,1,1,81,16.713547194720473,2,2,2020,318337.6975610722
1307,2,3,20,11.787879454146507,5,1,2019,376148.35944144684
2014,1,1,14,7.115053667039168,9,3,2015,384382.56827501906
2215,4,2,66,16.102355615933615,4,4,2020,333183.7845357145
1871,5,2,65,10.128326189987895,9,2,2015,415802.6381384452
1331,5,3,55,10.668277505281235,3,3,2019,340531.26774837775
2628,2,1,67,15.713876333337762,1,3,2010,349059.3048937841
2168,4,2,31,8.286894350761436,6,3,2015,402450.8422448313
1366,1,1,65,14.58120231484966,10,2,2019,312300.75286685943
2219,5,1,28,14.224643208827924,7,4,2011,392884.42747112055
2850,3,3,65,9.272275131801146,4,3,2020,399680.067934643
1981,4,3,33,3.0190334197705715,10,3,2013,454326.091107481
1998,4,1,26,10.063458820563543,5,1,2015,356134.52818194637
2784,3,1,59,15.686266233208414,4,2,2012,395887.3469537655
1514,5,3,38,14.09884034737744,3,2,2012,368972.5535852524
2863,3,1,43,18.55125195558657,1,3,2012,360586.79045227234
2486,2,3,81,7.547998967134188,6,1,2013,390712.9173825905
1537,1,1,35,13.896502363661178,10,3,2018,350051.4648064576
1665,1,3,18,4.968561230810274,5,3,2013,338890.9508674948
1737,5,1,90,11.007919803201814,1,2,2013,309692.7481081091
1083,3,3,44,15.527062026074912,5,1,2013,370137.63617644634
2130,4,1,83,14.532122937005212,6,3,2016,367304.30526579655
1560,4,2,20,10.515365209620438,10,2,2014,416253.75236223824
2148,4,2,22,8.659739187193548,5,3,2011,367040.93555396615
1354,2,1,93,5.02584504315363,1,3,2016,280896.8504917662
2461,2,2,88,8.87113363642099,5,1,2012,376228.9088567394
2368,4,1,94,3.4489807923063474,10,1,2020,426299.5746249902
1647,5,1,26,8.284029758677892,1,1,2010,315988.83585380734
2179,2,2,97,0.9688839233005169,3,3,2018,325483.7660275549
2041,2,1,71,3.4066638598567067,2,4,2014,284427.9480282649
2741,1,3,18,14.264029502783874,1,1,2019,345384.78865472676
1483,1,1,40,13.706970457509941,4,4,2010,285904.6642057686
1923,5,1,25,8.555760806340153,2,4,2020,365449.5466799986
1679,2,2,27,10.32384394809816,5,4,2010,341797.7700012727
2022,2,3,63,10.994478361745877,10,2,2010,390222.577812946
2266,3,1,67,12.30164195005591,1,3,2018,327287.08157076134
1674,5,1,94,11.766583536258468,10,1,2017,305090.2991164806
1817,5,1,79,3.3161206086237627,1,3,2020,310185.60797917406
2483,3,1,50,-2.2154181092447693,10,3,2015,433131.3986234412
2678,3,1,73,4.91555725435444,4,2,2019,361415.8939503277
2246,1,1,47,9.228348120601447,7,2,2015,386555.745470184
1931,5,3,9,14.800918346871745,2,2,2015,375023.2076771412
1883,5,3,72,11.17179845364491,2,3,2013,346135.11971924396
2274,3,1,38,12.671882814200238,1,4,2014,315307.1637789265
2113,4,1,99,5.515591892828137,5,3,2019,330480.4503122967
1175,4,2,99,9.64635550239496,6,2,2012,323143.8685574855
2286,1,3,18,10.327424297286058,6,3,2012,414134.701301864
1569,4,3,63,6.221615806355508,2,2,2019,384826.74157427636
1291,4,1,18,4.652200470613391,7,2,2016,373446.1213611198
1165,4,3,75,8.86661111451981,6,1,2014,321326.582486341
1891,2,3,61,13.306181740574292,8,4,2017,404576.84039929655
1491,1,2,12,5.4752425554342805,6,2,2014,360817.5523421644
836,3,2,24,8.959036336096311,9,1,2013,353414.83086664864
1820,4,3,99,16.774948171708036,10,4,2012,411071.22317045636
1754,2,3,88,7.403293445594349,2,2,2011,364655.78772355855
1925,4,3,91,10.036414935252097,7,4,2012,377933.76019136835
1685,2,1,41,9.47145959512156,5,4,2016,312619.17105447245
2914,1,2,38,9.061041859219307,1,3,2017,392187.5572757659
2258,4,1,29,18.342390821670044,3,1,2014,412183.8542141239
1750,2,2,4,11.528766545170301,4,4,2020,358868.9268027717
1968,5,2,80,2.149089501313213,2,3,2010,352869.1524317133
2707,5,2,17,17.642099232865455,7,4,2012,448650.2477017511
